comparison,reference,comparator,metric,positive_means,cluster,paired_benefit,ci_low,ci_high,positive_benefit_probability,n_clusters,n_windows,bootstrap_samples,evaluation_split,source_commit,comparator_source_commit
TIDE vs EEGNet,TIDE,EEGNet,ZMAE,TIDE_better,dyad_group,0.0906530263050244,0.0827957176466819,0.0985748772870558,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,ZRMSE,TIDE_better,dyad_group,0.1693003069609091,0.1598501400611192,0.1785556452160267,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,ZLinf,TIDE_better,dyad_group,0.5607250018967153,0.5353813893456868,0.5853359528749456,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,DeltaCorr_v1,TIDE_better,dyad_group,0.0018359641874144,-0.0016784216300755,0.0053735504455425,0.8386,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,ChangeMagnitudeCorr,TIDE_better,dyad_group,-0.002303948891185,-0.0061016938475586,0.001421699205124,0.1104,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,LogRatioChangeCorr,TIDE_better,dyad_group,0.0034874930998512,8.862164233790834e-05,0.0069907033649393,0.9768,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,Directional_Accuracy,TIDE_better,dyad_group,0.0261020536204103,0.0204388285906523,0.0317469423547641,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,Balanced_Nonflat_Directional_Accuracy,TIDE_better,dyad_group,0.0241216869688763,0.0184894409872636,0.0299566364907435,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,TrainFold_Majority_Direction_Accuracy,TIDE_better,dyad_group,0.0,0.0,0.0,0.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,TrainFold_Majority_Balanced_Direction_Accuracy,TIDE_better,dyad_group,0.0,0.0,0.0,0.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,Flat_Transition_Predicted_Change,TIDE_better,dyad_group,0.8278162350180688,0.8152565747594847,0.840523758901477,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,Chebyshev,TIDE_better,dyad_group,0.0007431601068528,-0.0002327533735333,0.0017367747439245,0.9354,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,Clark,TIDE_better,dyad_group,0.0262136428964244,0.0229740192359934,0.0294964168858013,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,Canberra,TIDE_better,dyad_group,0.0891884209303054,0.0784197121268695,0.0999662691559895,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,KL,TIDE_better,dyad_group,0.0088656239535633,0.0071381459679436,0.0105557677284525,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,Cosine,TIDE_better,dyad_group,0.007482372736209,0.0061670215437775,0.008774909569536,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,Intersection,TIDE_better,dyad_group,0.0109778820041476,0.009598628023392,0.0123328190673307,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,StaticAware_SRCC,TIDE_better,dyad_group,0.1391938048062905,0.1288168992870788,0.1493191757698554,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,StaticAware_PCC,TIDE_better,dyad_group,0.1533602253137663,0.1421978690199686,0.1639936828257099,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,StaticAware_KendallTauB,TIDE_better,dyad_group,0.1153136442428837,0.1065876643223173,0.1238776332484865,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,TimeAugmented_Discrete_Frechet,TIDE_better,dyad_group,0.7320726183783527,0.6892217813180491,0.774858532887906,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,TWED_lambda1_nu1,TIDE_better,dyad_group,2.8279846419501204,2.513496840828892,3.1314791205541828,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,DTW,TIDE_better,dyad_group,0.4535798573708276,0.2699681824871294,0.6485788959822398,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,ZMAE,TIDE_better,dyad_group,0.0576919713994534,0.0492059602060176,0.0663022856688352,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,ZRMSE,TIDE_better,dyad_group,0.1652336084645361,0.1561184675978195,0.1745194935066736,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,ZLinf,TIDE_better,dyad_group,0.799840018623465,0.767435817009238,0.8330823420259006,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,DeltaCorr_v1,TIDE_better,dyad_group,-0.0012296882600129,-0.0049016383019137,0.0027676467419235,0.2676,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,ChangeMagnitudeCorr,TIDE_better,dyad_group,-0.0009353413649887,-0.0047409524020082,0.0028406472033892,0.3176,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,LogRatioChangeCorr,TIDE_better,dyad_group,-0.0003277108751514,-0.0045215148274994,0.0034595626829965,0.4298,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,Directional_Accuracy,TIDE_better,dyad_group,0.0254261454534461,0.0188184614692173,0.031802776129371,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,Balanced_Nonflat_Directional_Accuracy,TIDE_better,dyad_group,0.0234797598900293,0.0167977488495676,0.0299277626740793,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,TrainFold_Majority_Direction_Accuracy,TIDE_better,dyad_group,0.0,0.0,0.0,0.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,TrainFold_Majority_Balanced_Direction_Accuracy,TIDE_better,dyad_group,0.0,0.0,0.0,0.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,Flat_Transition_Predicted_Change,TIDE_better,dyad_group,0.6381051608989069,0.6245704318169618,0.6517010068812239,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,Chebyshev,TIDE_better,dyad_group,0.0004923335606748,-0.0004191567559231,0.0014633211515048,0.8482,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,Clark,TIDE_better,dyad_group,0.0019276081335064,-0.0018173893646459,0.006119057212634,0.8284,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,Canberra,TIDE_better,dyad_group,-0.0042359728051085,-0.0178740454409194,0.0095757615235729,0.2762,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,KL,TIDE_better,dyad_group,0.0016029178809872,-0.0004407244309611,0.0037557179995152,0.9352,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EmT,TIDE,EmT,Cosine,TIDE_better,dyad_group,0.0020187216844673,0.0005250524695246,0.0036433375068576,0.9972,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
