method,variant,metric,mean,standard_deviation,fold,seed,n_subject_trials,evaluation_split,aggregation_definition,source_commit
EMOD scratch,full,ZMAE,1.052188684062577,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2217344669353688,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0007904382486224,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,4.753679693797206e-05,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.3847659845749507,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0173774789750183,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2129326993388248,,3,97,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,-0.0053297121595407,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,-0.0035413142057607,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.476073000776517,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0181325685635718,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2528013110129104,,4,97,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,full,StaticAware_SRCC,0.0034671118453587,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,full,StaticAware_PCC,0.0031731507612512,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,full,TimeAugmented_Discrete_Frechet,2.3693768841529472,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,full,ZMAE,1.0420076372402658,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,full,KL,0.2377459686287078,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
